Surname	Culture
Machipisa	Zimbabwean
Chinoda	Zimbabwean
Tazvivinga	Zimbabwean
Madamombe	Zimbabwean
Meher	Indian
Middelkoop	Dutch
Gurav	Indian
Righi	Italian
Motsi	Zimbabwean
Ndiweni	Zimbabwean
Miya	Indian
Costantino	Italian
Kale	Indian
Ferro	Italian
Carboni	Italian
Golden	American
Olivieri	Italian
Reale	Italian
de Smedt	Belgian
Kouwenhoven	Dutch
Cardinali	Italian
Fritz	American
McCann	American
Berckmans	Belgian
Murphy	American
Verbrugghe	Belgian
Nuyts	Belgian
Timmer	Dutch
de Martino	Italian
Hoekman	Dutch
Pasquali	Italian
Mawoyo	Zimbabwean
Lorenzon	Italian
Frey	American
Holden	American
Mayo	American
D'Auria	Italian
van Duin	Dutch
van Meurs	Dutch
Na	Indian
Goredema	Zimbabwean
Bossuyt	Belgian
Matare	Zimbabwean
West	American
Favaro	Italian
van der Berg	Dutch
Bhan	Indian
Espinoza	American
Pollet	Belgian
Gazi	Indian
Ga	Indian
Demol	Belgian
Conti	Italian
Cremonesi	Italian
Marini	Italian
Thienpont	Belgian
Ganjhu	Indian
Dulari	Indian
Piscopo	Italian
Chitiyo	Zimbabwean
Muranganwa	Zimbabwean
Matutu	Zimbabwean
de Lange	Dutch
van der Ven	Dutch
Murgia	Italian
Vurayayi	Zimbabwean
Erickson	American
Biswas	Indian
Philips	Belgian
Oskam	Dutch
Chari	Zimbabwean
Benini	Italian
Swerts	Belgian
van der Boom	Dutch
Chiradza	Zimbabwean
van der Meijden	Dutch
Senapati	Indian
Lefèvre	Belgian
Townsend	American
McLaughlin	American
Englebert	Belgian
Magadzire	Zimbabwean
Dhumal	Indian
Hof	Dutch
Agrawal	Indian
Groeneweg	Dutch
Shaikh	Indian
Thakor	Indian
Magombedze	Zimbabwean
van der Borght	Belgian
Santiago	American
Msimanga	Zimbabwean
Marume	Zimbabwean
Jordan	American
Khade	Indian
Madar	Indian
Chinhema	Zimbabwean
de Ruiter	Dutch
Mushaninga	Zimbabwean
Belmans	Belgian
Vanderlinden	Belgian
Morello	Italian
Lahaye	Belgian
Mathis	American
Borrelli	Italian
Munhenga	Zimbabwean
Schouten	Dutch
Giannone	Italian
Tomar	Indian
Muranda	Zimbabwean
Chan	American
Patar	Indian
Rathav	Indian
York	American
del Vecchio	Italian
Jeke	Zimbabwean
Mashonganyika	Zimbabwean
Corsi	Italian
Barton	American
Pedzisai	Zimbabwean
Sk	Indian
Luphahla	Zimbabwean
La Rosa	Italian
Maramba	Zimbabwean
Feenstra	Dutch
Frederick	American
Mukucha	Zimbabwean
Woods	American
Tina	Indian
van Bakel	Dutch
Carli	Italian
Brons	Dutch
Mudzingwa	Zimbabwean
Richmond	American
Sethi	Indian
Floyd	American
Deshpandey	Indian
Marisa	Zimbabwean
Nyakudya	Zimbabwean
Barten	Dutch
Modak	Indian
Zambuko	Zimbabwean
Tambe	Indian
Rosa	Italian
Osborne	American
Deshmukh	Indian
Munatsi	Zimbabwean
Spina	Italian
Balsamo	Italian
Horn	American
Magaya	Zimbabwean
Nieuwenhuis	Dutch
Bauduin	Belgian
Taal	Dutch
Perini	Italian
Chisvo	Zimbabwean
Zucca	Italian
Mudzamiri	Zimbabwean
Thorat	Indian
Godart	Belgian
Carver	American
de Rijk	Dutch
Castillo	American
Nieuwenhuizen	Dutch
Chowdhury	Indian
Durant	Belgian
Thakur	Indian
Marangon	Italian
Viviani	Italian
Jimenez	American
Pellegrino	Italian
Lorenzi	Italian
Chikosha	Zimbabwean
Malakar	Indian
Guglielmi	Italian
Suresh	Indian
Dalei	Indian
Mercado	American
Baars	Dutch
Vecchi	Italian
Bonetti	Italian
Teli	Indian
Knol	Dutch
Jana	Indian
Magnani	Italian
Verdonck	Belgian
Mondal	Indian
Rombaut	Belgian
Spierings	Dutch
Bansal	Indian
Reyes	American
Izzo	Italian
Bartels	Dutch
Nijman	Dutch
Bhattacharjee	Indian
Verschueren	Belgian
Fatima	Indian
Klooster	Dutch
Hosen	Indian
Conrad	American
Antonelli	Italian
Holmes	American
Francesconi	Italian
Braun	American
Purohit	Indian
Huyghe	Belgian
Gomba	Zimbabwean
Mugova	Zimbabwean
van Vaerenbergh	Belgian
Lowe	American
Bha	Indian
Bird	American
Mandava	Zimbabwean
Mutami	Zimbabwean
Downs	American
Shabar	Indian
Heyvaert	Belgian
de Groot	Dutch
Dava	Indian
Qureshi	Indian
Lodi	Italian
Romanelli	Italian
Brooks	American
Mafunga	Zimbabwean
Marchal	Belgian
Myers	American
Catania	Italian
Sutton	American
Dhage	Indian
Dlodlo	Zimbabwean
Polman	Dutch
Hagen	Dutch
Tigere	Zimbabwean
Christiaens	Belgian
Verheyden	Belgian
Tsiga	Zimbabwean
Hoff	Dutch
Fantoni	Italian
Schaap	Dutch
Spencer	American
Gohal	Indian
Evangelista	Italian
Ade	Indian
de Stefano	Italian
Kaplan	American
Valeri	Italian
Davidson	American
Puri	Indian
Travis	American
van Droogenbroeck	Belgian
Mays	American
Jadav	Indian
Wessels	Dutch
Lakra	Indian
Rajaput	Indian
Dhara	Indian
Johnston	American
Takawira	Zimbabwean
Chidembo	Zimbabwean
Sironi	Italian
Gaikwad	Indian
Harrison	American
Pagano	Italian
Serra	Italian
La Rocca	Italian
van der Vegt	Dutch
Trapani	Italian
Delaere	Belgian
Kolkman	Dutch
Casini	Italian
Reniers	Belgian
Laxmi	Indian
Kamminga	Dutch
Ram	Indian
Shirke	Indian
Vanhaverbeke	Belgian
Valdez	American
Lievens	Belgian
Bishop	American
Harvey	American
Franklin	American
Bhunu	Zimbabwean
Salim	Indian
Leach	American
Orlando	Italian
Pasipamire	Zimbabwean
van Doorn	Dutch
Rousseau	Belgian
Fowler	American
Suthar	Indian
Bremer	Dutch
Morse	American
van Egmond	Dutch
Festa	Italian
Miedema	Dutch
Leeuwen	Dutch
Bryant	American
Nyahuma	Zimbabwean
Tommasi	Italian
Dumortier	Belgian
Da	Indian
Mwinde	Zimbabwean
Vaes	Belgian
Khupe	Zimbabwean
Philippart	Belgian
Galasso	Italian
Robinson	American
Martucci	Italian
Mazhambe	Zimbabwean
Gond	Indian
Philippe	Belgian
Martella	Italian
Lombardo	Italian
Michaux	Belgian
Vilain	Belgian
Volpe	Italian
Boonen	Belgian
Bautista	American
Tapfuma	Zimbabwean
Forbes	American
Tran	American
Gaud	Indian
Dzenga	Zimbabwean
Smink	Dutch
de Jaeger	Belgian
Maunganidze	Zimbabwean
Jamadar	Indian
Coucke	Belgian
Baan	Dutch
Boni	Italian
Haldar	Indian
Medhi	Indian
Olsen	American
Slagter	Dutch
Castagna	Italian
Khanna	Indian
Bouchez	Belgian
de Geyter	Belgian
Vishvakarma	Indian
Dave	Indian
Rossetto	Italian
Matanga	Zimbabwean
Marquez	American
Cardon	Belgian
Maggio	Italian
Elzinga	Dutch
Bove	Italian
FitzPatrick	American
Snyder	American
Masenda	Zimbabwean
Morrison	American
Wilcox	American
van Loock	Belgian
McKinney	American
Sayyad	Indian
Ramaekers	Belgian
Cervantes	American
Gwenzi	Zimbabwean
van Zon	Dutch
Mereu	Italian
Muchenje	Zimbabwean
Salunke	Indian
Nkomazana	Zimbabwean
Bruin	Dutch
Bielen	Belgian
Bartolini	Italian
Chang	American
Mavhura	Zimbabwean
Verhoeff	Dutch
McFarland	American
Sonkar	Indian
Ellison	American
Verstegen	Dutch
Wani	Indian
Castellano	Italian
Mazzoni	Italian
Castelli	Italian
Mugadza	Zimbabwean
Banda	Zimbabwean
Satpute	Indian
Mahlangu	Zimbabwean
Chitanda	Zimbabwean
Storm	Dutch
Lemaire	Belgian
Ortiz	American
van der Lee	Dutch
Casiraghi	Italian
Baloyi	Zimbabwean
Chizema	Zimbabwean
Amin	Indian
Hutchinson	American
van der Sande	Dutch
D'Urso	Italian
Sau	Indian
Nyamayaro	Zimbabwean
Chhetri	Indian
Duran	American
Musengi	Zimbabwean
Faes	Belgian
Bridges	American
Makina	Zimbabwean
Laurent	Belgian
Borst	Dutch
Bharavad	Indian
Brunelli	Italian
Cocchi	Italian
Mohan	Indian
Parween	Indian
Vincenzi	Italian
Ugolini	Italian
Torrisi	Italian
Sih	Indian
Estes	American
Mafu	Zimbabwean
Dhal	Indian
Chiremba	Zimbabwean
Radice	Italian
Valenti	Italian
Perkins	American
van Uden	Dutch
Mabena	Zimbabwean
Haque	Indian
Tagarira	Zimbabwean
Kirby	American
Kurmi	Indian
Ngwerume	Zimbabwean
Ruggiero	Italian
Vinci	Italian
van Klaveren	Dutch
Bonato	Italian
Tomaselli	Italian
Mauro	Italian
Gabriels	Belgian
Modi	Indian
Mutanda	Zimbabwean
Tirivanhu	Zimbabwean
Chipunza	Zimbabwean
Laloux	Belgian
Shoriwa	Zimbabwean
Chaupal	Indian
Dudley	American
van der Ende	Dutch
de Bock	Belgian
de Moor	Belgian
Joshi	Indian
Meuleman	Belgian
Pearce	American
Chirico	Italian
Aira	Indian
Williams	American
Khandare	Indian
Paris	Italian
Ware	American
Lamani	Indian
Noël	Belgian
Palumbo	Italian
Moyer	American
Keppens	Belgian
Balcaen	Belgian
Arts	Dutch
Laeremans	Belgian
Krishna	Indian
Hamadziripi	Zimbabwean
Rani	Indian
Broeders	Dutch
Gibson	American
Rai	Indian
Lefebvre	Belgian
Caughari	Indian
Carpentier	Belgian
Mukono	Zimbabwean
van der Zwan	Dutch
Kashiri	Zimbabwean
Delattre	Belgian
Zuze	Zimbabwean
Snider	American
Mushangwe	Zimbabwean
Phillips	American
Cimino	Italian
Chimbwanda	Zimbabwean
Terrell	American
Kok	Dutch
van der Putten	Dutch
Gherardi	Italian
Matthys	Belgian
Mercier	Belgian
Sanna	Italian
Kerr	American
Bahadur	Indian
Smet	Belgian
Dondo	Zimbabwean
Marchesi	Italian
Sigauke	Zimbabwean
Michiels	Belgian
Pandey	Indian
Zindi	Zimbabwean
Tandel	Indian
Paradiso	Italian
Provoost	Belgian
Shekhar	Indian
van Hees	Dutch
Bambhaniy	Indian
Masaiti	Zimbabwean
Harijan	Indian
Morgan	American
Bar	Indian
Maertens	Belgian
Kazingizi	Zimbabwean
Traverso	Italian
Garza	American
Cherubini	Italian
Dean	American
Cantrell	American
Etienne	Belgian
Sai	Indian
van Daele	Belgian
Coppola	Italian
Mamvura	Zimbabwean
Sterckx	Belgian
Vati	Indian
van Kerckhoven	Belgian
Bono	Italian
Altena	Dutch
Heylen	Belgian
Kwangware	Zimbabwean
Morales	American
Musa	Zimbabwean
Dumba	Zimbabwean
van Buren	Dutch
Kaseke	Zimbabwean
Mumpande	Zimbabwean
Pelgrims	Belgian
Saw	Indian
Lake	American
Dierckx	Belgian
Preston	American
Pitts	American
van Herck	Belgian
Palmisano	Italian
Mastroianni	Italian
Beasley	American
Mkandla	Zimbabwean
Oosting	Dutch
Talapad	Indian
Claerhout	Belgian
Chando	Zimbabwean
Mususa	Zimbabwean
Jansma	Dutch
Gope	Indian
Sonck	Belgian
Calabro	Italian
Hollander	Dutch
van der Mark	Dutch
Pacheco	American
Scheers	Belgian
Landman	Dutch
Jager	Dutch
Perry	American
Zwaan	Dutch
Crombez	Belgian
Mardi	Indian
Majuru	Zimbabwean
Ruiter	Dutch
Decker	American
Doley	Indian
Broers	Dutch
Spaans	Dutch
Degryse	Belgian
Eva	Indian
Barot	Indian
Gibbs	American
van Grinsven	Dutch
Patterson	American
Poggi	Italian
Nagar	Indian
Chipere	Zimbabwean
Ara	Indian
Taruvinga	Zimbabwean
Jonkers	Dutch
Hoogenboom	Dutch
Peck	American
Klaassen	Dutch
D'Hondt	Belgian
Clements	American
Chingoma	Zimbabwean
Katta	Indian
Gosai	Indian
Bass	American
Hoekstra	Dutch
Kulakarni	Indian
Hoornaert	Belgian
McCoy	American
Struik	Dutch
Casier	Belgian
Mahoney	American
Raul	Indian
Dodson	American
Martinelli	Italian
Schoemaker	Dutch
Vishwakarma	Indian
Dalal	Indian
de Laet	Belgian
Machaka	Zimbabwean
Chibvongodze	Zimbabwean
van der Weide	Dutch
Declercq	Belgian
Savio	Italian
Sannino	Italian
Ibarra	American
Baldini	Italian
Crosby	American
di Matteo	Italian
Chasara	Zimbabwean
Rwodzi	Zimbabwean
Broek	Dutch
Bertrand	Belgian
Boers	Dutch
van der Heiden	Dutch
di Giacomo	Italian
Rath	Indian
Caudron	Belgian
Maponga	Zimbabwean
Geeraerts	Belgian
Mguni	Zimbabwean
Kufa	Zimbabwean
de Brouwer	Dutch
Masi	Italian
Wesselink	Dutch
Shrivastav	Indian
Masiyiwa	Zimbabwean
Schoofs	Belgian
Cipolla	Italian
Collins	American
Yang	American
Barbero	Italian
Machiels	Belgian
Dikshit	Indian
Imbayago	Zimbabwean
Dekkers	Dutch
Huff	American
van Rijswijk	Dutch
Gohil	Indian
Muchineripi	Zimbabwean
Mutema	Zimbabwean
Muleya	Zimbabwean
Federici	Italian
Wesseling	Dutch
Gagliano	Italian
de Munck	Belgian
Cortez	American
Griffioen	Dutch
Baraiy	Indian
Mahata	Indian
Ghezzi	Italian
Denis	Belgian
Majumdar	Indian
Zvomuya	Zimbabwean
Raja	Indian
Mandishona	Zimbabwean
Hajara	Indian
Kamudyariwa	Zimbabwean
Hodzi	Zimbabwean
Culot	Belgian
van der Zanden	Dutch
Wilkins	American
Scholten	Dutch
Makonese	Zimbabwean
Zaccaria	Italian
de Coninck	Belgian
Giorgi	Italian
Colombi	Italian
Vanhoutte	Belgian
Delrue	Belgian
Dash	Indian
Owens	American
Moscatelli	Italian
Verhagen	Dutch
Carminati	Italian
Majhi	Indian
Hlabangana	Zimbabwean
Babar	Indian
Sihan	Indian
Bariha	Indian
D'Haese	Belgian
Kuresi	Indian
Hirajan	Indian
Bekker	Dutch
Delfosse	Belgian
Gagliardi	Italian
Daka	Zimbabwean
Munjoma	Zimbabwean
Adhikary	Indian
Lakshmi	Indian
Brewer	American
Gozzi	Italian
Mashingaidze	Zimbabwean
Rabha	Indian
Dhangar	Indian
Campagna	Italian
Marime	Zimbabwean
Vheremu	Zimbabwean
Bailey	American
Bianco	Italian
Vranken	Belgian
Ferguson	American
Spinelli	Italian
Ma	Indian
Hol	Dutch
de Goede	Dutch
Caudhar	Indian
Wijnands	Dutch
Tielemans	Belgian
Gillet	Belgian
Moortgat	Belgian
Broeckx	Belgian
Panda	Indian
Jonckheere	Belgian
Casadei	Italian
Mancuso	Italian
Vannini	Italian
Muponda	Zimbabwean
Verheul	Dutch
Dini	Italian
Zvidzai	Zimbabwean
van der Molen	Dutch
Sanfilippo	Italian
Jubane	Zimbabwean
Landage	Indian
Visser	Dutch
Ambrosini	Italian
Singha	Indian
Diaz	American
McGrath	American
Tack	Belgian
Goud	Indian
Mazuru	Zimbabwean
Dhali	Indian
Jarvis	American
Holder	American
Bharati	Indian
van Laethem	Belgian
Oosterhuis	Dutch
Mazorodze	Zimbabwean
Chigova	Zimbabwean
Baske	Indian
Anciaux	Belgian
Panzeri	Italian
Panchal	Indian
Garofalo	Italian
Mosley	American
Rollins	American
Douglas	American
Campo	Italian
Kachidza	Zimbabwean
Oudshoorn	Dutch
Wheeler	American
Case	American
Liguori	Italian
Pauwels	Belgian
Glover	American
van Belle	Belgian
Parker	American
Mpande	Zimbabwean
Posthumus	Dutch
Renna	Italian
Reeves	American
Finley	American
Giordano	Italian
Nyama	Zimbabwean
Capuano	Italian
Kashyap	Indian
Gallo	Italian
de Simone	Italian
Baishya	Indian
Callens	Belgian
Hood	American
Archer	American
Pepe	Italian
Barbato	Italian
van Veen	Dutch
Anelli	Italian
Marufu	Zimbabwean
